Wave,Main
516.0,4498.00
517.0,4483.00
518.0,4454.00
519.0,4453.00
520.0,4464.00
521.0,4453.00
522.0,4410.00
523.0,4449.00
524.0,4422.00
525.0,4441.00
526.0,4482.00
527.0,4404.00
528.0,4442.00
529.0,4457.00
530.0,4470.00
531.0,4464.00
532.0,4468.00
533.0,4468.00
534.0,4498.00
535.0,4440.00
536.0,4436.00
537.0,4484.00
538.0,4468.00
539.0,4437.00
540.0,4465.00
541.0,4461.00
542.0,4481.00
543.0,4460.00
544.0,4447.00
545.0,4494.00
546.0,4486.00
547.0,4482.00
548.0,4476.00
549.0,4479.00
550.0,4456.00
551.0,4489.00
552.0,4472.00
553.0,4509.00
554.0,4507.00
555.0,4513.00
556.0,4502.00
557.0,4540.00
558.0,4498.00
559.0,4523.00
560.0,4555.00
561.0,4557.00
562.0,4596.00
563.0,4596.00
564.0,4631.00
565.0,4638.00
566.0,4654.00
567.0,4749.00
568.0,4777.00
569.0,4826.00
570.0,4920.00
571.0,4988.00
572.0,5247.00
573.0,6163.00
574.0,8716.00
575.0,13332.00
576.0,20641.00
577.0,30479.00
578.0,40554.00
579.0,46661.00
580.0,49229.00
581.0,47119.00
582.0,39526.00
583.0,29472.00
584.0,21719.00
585.0,17522.00
586.0,14262.00
587.0,11060.00
588.0,9017.00
589.0,7858.00
590.0,6893.00
591.0,6160.00
592.0,5544.00
593.0,5147.00
594.0,4957.00
595.0,4879.00
596.0,4812.00
597.0,4749.00
598.0,4699.00
599.0,4635.00
600.0,4674.00
601.0,4677.00
602.0,4671.00
603.0,4671.00
604.0,4667.00
605.0,4669.00
606.0,4647.00
607.0,4606.00
608.0,4650.00
609.0,4627.00
610.0,4631.00
611.0,4619.00
612.0,4612.00
613.0,4605.00
614.0,4650.00
615.0,4634.00
616.0,4614.00
617.0,4621.00
618.0,4606.00
619.0,4632.00
620.0,4609.00
621.0,4609.00
622.0,4630.00
623.0,4597.00
624.0,4565.00
625.0,4619.00
626.0,4599.00
627.0,4621.00
628.0,4643.00
629.0,4575.00
630.0,4639.00
631.0,4591.00
632.0,4622.00
633.0,4634.00
634.0,4567.00
635.0,4598.00
636.0,4598.00
637.0,4576.00
638.0,4572.00
639.0,4603.00
640.0,4573.00
641.0,4565.00
642.0,4581.00
643.0,4576.00
644.0,4562.00
645.0,4595.00
646.0,4594.00
647.0,4603.00
648.0,4617.00
649.0,4628.00
650.0,4619.00
651.0,4633.00
652.0,4630.00
653.0,4655.00
654.0,4613.00
655.0,4578.00
656.0,4587.00
657.0,4568.00
658.0,4623.00
659.0,4607.00
660.0,4661.00
661.0,4662.00
662.0,4688.00
663.0,4658.00
664.0,4674.00
665.0,4682.00
666.0,4668.00
667.0,4644.00
668.0,4685.00
669.0,4701.00
670.0,4668.00
671.0,4688.00
672.0,4733.00
673.0,4714.00
674.0,4755.00
675.0,4789.00
676.0,4828.00
677.0,4838.00
678.0,4837.00
679.0,4898.00
680.0,4915.00
681.0,4949.00
682.0,5017.00
683.0,5323.00
684.0,6165.00
685.0,8511.00
686.0,12822.00
687.0,19234.00
688.0,26526.00
689.0,33327.00
690.0,38019.00
691.0,39545.00
692.0,39696.00
693.0,35905.00
694.0,26047.00
695.0,16511.00
696.0,12650.00
697.0,11729.00
698.0,10990.00
699.0,9890.00
700.0,8863.00
701.0,8329.00
702.0,7643.00
703.0,6713.00
704.0,5752.00
705.0,5387.00
706.0,5191.00
707.0,5058.00
708.0,4855.00
709.0,4761.00
710.0,4690.00
711.0,4678.00
712.0,4692.00
713.0,4671.00
714.0,4646.00
715.0,4624.00
716.0,4645.00
717.0,4653.00
718.0,4654.00
719.0,4629.00
720.0,4661.00
721.0,4687.00
722.0,4679.00
723.0,4692.00
724.0,4622.00
725.0,4643.00
726.0,4630.00
727.0,4626.00
728.0,4617.00
729.0,4613.00
730.0,4602.00
731.0,4625.00
732.0,4648.00
733.0,4638.00
734.0,4647.00
735.0,4657.00
736.0,4627.00
737.0,4604.00
738.0,4597.00
739.0,4538.00
740.0,4535.00
741.0,4527.00
742.0,4512.00
743.0,4502.00
744.0,4477.00
745.0,4502.00
746.0,4462.00
747.0,4453.00
748.0,4473.00
749.0,4511.00
750.0,4533.00
751.0,4544.00
752.0,4550.00
753.0,4543.00
754.0,4554.00
755.0,4559.00
756.0,4581.00
757.0,4537.00
758.0,4578.00
759.0,4529.00
760.0,4579.00
761.0,4606.00
762.0,4598.00
763.0,4673.00
764.0,4659.00
765.0,4726.00
766.0,4793.00
767.0,4776.00
768.0,4875.00
769.0,4975.00
770.0,5041.00
771.0,5266.00
772.0,5709.00
773.0,6979.00
774.0,10902.00
775.0,18831.00
776.0,30832.00
777.0,46055.00
778.0,60507.00
779.0,65535.00
780.0,65535.00
781.0,65535.00
782.0,65535.00
783.0,65535.00
784.0,47447.00
785.0,26971.00
786.0,19315.00
787.0,16074.00
788.0,12445.00
